temperature,humidity,wind_speed,traffic_density,industrial_activity,AQI
28.48,70.89,7.49,10.0,83.67,149.46
24.03,65.24,14.13,9.0,49.93,164.9
29.53,55.93,15.29,7.0,82.52,155.39
35.66,74.91,9.91,3.0,31.72,105.21
23.36,60.99,8.38,3.0,45.26,118.21
23.36,53.03,14.88,5.0,37.8,66.1
36.05,57.29,12.39,7.0,43.43,109.63
30.37,33.81,10.25,7.0,50.78,123.1
21.71,57.27,14.28,,76.8,162.46
28.8,,13.96,1.0,82.85,174.23
21.76,65.1,8.99,3.0,53.12,110.97
21.74,82.81,10.75,1.0,35.47,90.18
26.69,56.06,11.73,6.0,63.56,142.46
11.61,67.31,10.09,10.0,50.11,144.33
12.93,71.89,5.83,7.0,50.76,118.9
21.06,95.14,7.19,2.0,29.36,119.54
17.91,62.17,5.93,9.0,17.66,101.71
27.2,44.34,11.48,5.0,49.62,101.74
18.64,72.72,6.45,3.0,28.61,134.99
15.11,87.99,10.58,7.0,39.39,94.43
35.26,55.16,15.5,7.0,,115.52
23.42,72.62,14.28,1.0,48.6,140.43
25.47,78.43,4.49,6.0,72.14,197.84
15.03,75.26,6.16,3.0,55.92,144.84
21.19,61.88,7.67,7.0,61.68,136.33
25.78,49.52,,5.0,39.0,119.11
,58.78,5.04,4.0,73.06,160.73
27.63,66.88,9.97,10.0,56.22,153.16
20.8,73.62,12.12,7.0,44.71,120.55
22.96,65.01,12.86,7.0,56.21,142.57
20.79,54.3,8.58,8.0,35.7,126.65
37.97,,9.18,5.0,44.13,155.99
24.91,72.9,11.07,4.0,48.89,139.9
17.6,65.69,9.67,1.0,39.49,103.63
30.76,47.46,12.43,4.0,81.17,159.55
16.45,57.28,11.29,10.0,,137.78
26.46,74.22,8.87,1.0,91.65,183.89
11.28,39.25,,7.0,51.35,106.67
15.7,28.6,14.5,6.0,45.31,84.93
26.38,82.62,7.94,7.0,39.91,158.11
30.17,67.67,11.07,8.0,58.45,144.22
26.2,69.1,4.25,6.0,67.88,182.94
24.19,43.85,9.97,2.0,-0.76,17.12
22.89,71.06,10.3,2.0,50.1,126.82
14.65,64.13,10.45,9.0,10.24,112.34
19.96,36.24,19.04,6.0,69.64,118.66
21.78,81.36,8.11,6.0,69.99,157.09
32.4,62.38,12.46,1.0,50.82,107.58
27.41,54.06,,8.0,54.17,95.53
12.66,54.33,7.96,8.0,21.4,123.66
27.27,29.77,12.42,4.0,39.05,52.25
22.3,68.9,9.51,7.0,37.76,55.83
20.26,63.93,12.63,9.0,41.02,77.54
29.28,57.09,15.88,1.0,67.44,128.51
32.22,79.18,10.45,5.0,75.63,161.52
31.52,39.24,9.16,8.0,62.21,136.65
19.13,51.05,13.15,7.0,43.53,108.24
22.84,47.25,14.19,10.0,35.08,74.31
27.32,55.82,7.35,4.0,51.81,107.73
31.83,61.01,8.64,3.0,55.93,162.06
21.65,66.45,12.03,1.0,45.58,119.71
23.7,54.8,9.6,3.0,36.82,34.07
17.26,46.84,7.14,2.0,62.31,296.73
16.63,85.29,11.62,5.0,64.27,112.51
30.69,96.17,12.01,1.0,23.76,113.44
34.49,62.15,9.0,4.0,42.33,130.83
24.5,48.65,10.18,8.0,65.56,135.67
32.02,82.13,8.27,9.0,69.77,171.52
27.53,38.3,6.71,1.0,51.29,138.16
20.48,54.98,8.51,3.0,57.31,137.14
27.53,49.56,10.22,6.0,55.05,103.78
35.77,42.61,5.57,5.0,69.09,133.38
24.75,55.8,8.73,1.0,27.82,72.24
35.95,47.04,10.26,2.0,55.35,116.13
6.66,60.19,13.58,2.0,32.22,78.77
30.75,,9.06,7.0,,365.44
25.61,50.68,6.26,6.0,28.83,82.13
22.91,54.44,9.37,6.0,58.17,100.77
,56.54,8.3,1.0,32.33,110.01
11.09,72.15,11.66,1.0,65.05,159.01
23.46,57.77,8.99,4.0,58.79,179.91
27.5,72.37,1.87,10.0,54.79,184.95
35.35,68.79,21.07,6.0,89.22,149.7
21.37,68.57,10.43,6.0,35.95,130.72
